"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"1154384","2014-09-23 02:56:51","7404847","3.2800","119","68","C","5","<p>Dan Wride comes into A&amp;E with the top of his right distal phalynx missing. What is the nerve that supplies the tip of this finger on the palmar aspect?<img src=""../images/view.php?file=48909"" alt=""no description"" /></p>","<p>Radial</p>","<p>Median</p>","<p>Ulnar</p>","<p>Axillary</p>","<p>Phrenic!</p>","<p>This is Dan's Wride's Story. You need to treat him or he will die! Based on a series of true events!</p>","Upper Limb innervation"
"1154385","2014-09-23 02:56:51","7404847","2.9600","100","68","C","5","<p>Which of the following is NOT a superficial muscle of the anterior compartment of the forearm?</p>","<p>Pronator Teres</p>","<p>Flexor Carpi Radialis</p>","<p>Flexor Digitorum Superficialis</p>","<p>Palmaris Longus</p>","<p>Flexor Carpi Ulnaris</p>","","-"
"1154386","2014-09-23 02:56:51","7404847","3.3200","149","77","C","4","<p>Consider the case of Major-General Butterworth-Crumpett, a distinguished 69-year-old patient. He is recovering on the ward from heart surgery the previous day, and complains to the nurses of chest pain. His chest tube drainage volume has decreased, and an examination shows tachycardia, low arterial blood pressure, distended veins in the neck, pulsus paradoxus and, on ascultation, distant and muffled heart sounds. A chest X-ray shows a large, globular heart and was otherwise normal. What is the good Major-General most likely to be suffering from?</p>","<p>Myocardial infarction.</p>","<p>Tension pneumothorax.</p>","<p>Cardiac tamponade.</p>","<p>Constrictive pericarditis.</p>","","<p>Cardiac tamponade is the most likely answer, as the good Major-General is presenting with the classical clinical signs of the condition; Beck's triad of: -<strong>low arterial blood pressure</strong>, -<strong>distended jugular veins</strong>, -<strong>distant and muffled heart sounds</strong>. Further, he is recovering from recent heart surgery and a common cause of cardiac tamponade is clogged chest drains. All the other options are differential diagnoses of the condition, but the Major-General is unlikely to be suffering from constrictive pericarditis as he is not exhibiting Kussmaul's sign (a rise in jugular venous pressure during inspiration) and his X-ray shows an effusion (the globular heart) without any sign of calcification. It is also unlikely to be tension pneumothorax due to the otherwise-normal nature of the X-ray that was taken. Finally, myocardial infarction is also not the preferred diagnosis as the patient presents with Beck's triad and chest tube drainage volume drop-off - highly indicative of cardiac tamponade rather than MI.</p>","Heart, Clinical skills"
"1154387","2014-09-23 02:56:51","7404847","3.2700","141","77","A","5","<p><img src=""../images/view.php?file=49410"" alt=""no description"" />&nbsp; &nbsp;</p><p>Which type of heart block is shown above?&nbsp;</p>","<p>First Degree&nbsp;</p>","<p>Second degree: Mobitz type II</p>","<p>Second Degree: Wenckebach</p>","<p>Third Degree&nbsp;</p>","<p>Fourth Degree</p>","<p>'Heart block' is an ECG phenomenon caused by an interference with the conduction process of the heart. The time taken for the spread of depolarisation from the SAN to the ventricular muscle is shown by the PR interval. If this is prolonged then the result is first degree heart block.</p><p>PR interval is typically 0.12-0.2 s long.&nbsp;</p><p>Small Square- 0.04s</p><p>Large Square- 0.2s</p><p>&nbsp;</p>","The ECG"
"1154388","2014-09-23 02:56:51","7404847","3.2500","125","73","D","5","<p>Where would you auscultate to hear the mitral valve of the heart?</p>","<p>Left 2nd Intercostal space. (Parasternal)</p>","<p>Right 4th Intercostal Space. (Parasternal)</p>","<p>Left 4th Intercostal Space (Mid-clavicular line)</p>","<p>Left 5th Intercostal Space (Mid-clavicular Line)</p>","<p>Right 5th Intercostal Space (Parasternal)</p>","<p>The mitral (bicuspid) valve is the atrio-ventricular valve between the left atrium and the left ventricle.</p><p>Therefore, since the heart is orientated anteriorly, inferiorly and to the left and the mitral valve lies between the left atrium and left ventricle, answers B and E are incorrect as they are on the right.</p><p>Answer A is the surface landmark for auscultation of the Pulmonary valve.</p><p>Answer C is a trick and is one intercostal space superior to the area for auscultation.</p><p>Answer D is therefore correct.</p><p>&nbsp;</p><p>NOTE: The surface markings and points of auscultation in the heart are<strong><em> different</em></strong>.</p>","-"
"1154389","2014-09-23 02:56:51","7404847","2.8900","113","73","E","5","<p>Which type of epithelium characteristically lines the walls of the urinary tract?</p>","<p>Stratified Squamous</p>","<p>Simple Columnar</p>","<p>Cuboidal</p>","<p>Simple Squamous</p>","<p>Transitional</p>","<p><span style=""font-family: arial,helvetica,sans-serif;""><strong>Transitional epithelium</strong> a.k.a urothelium is a stratified epithelium lining the distensible walls of the urinary tract. 'Transitional' derives from the tissues ability to change its shape from cuboidal to squamous when stretched. </span></p><p><span style=""font-family: arial,helvetica,sans-serif;""><strong>Stratified Squamous- </strong>protective function. The innermost layers constantly produce new cells and outermost layers may be keratinized. Found in skin and oesophagus.</span></p><p><span style=""font-family: arial,helvetica,sans-serif;""><strong>Simple Columnar-</strong> involved in active secretion/absorption (may have cilia). Found in digestive tract and female reproductive tract.</span></p><p><span style=""font-family: arial,helvetica,sans-serif;""><strong>Cuboidal-</strong> active 'pumps' e.g glandular ducts in kidneys</span></p><p><span style=""font-family: arial,helvetica,sans-serif;""><strong>Simple Squamous-</strong> located at sites of rapid diffusion e.g lung alveoli</span></p><p>&nbsp;</p>","Micro Anatomy, Histology"
"1154390","2014-09-23 02:56:51","7404847","3.0700","110","70","C","4","<p>Mr. Mann comes in to see you at your GP practice. He presents with numbness in the thenar eminence of his palm in addition to pain and tingling in his thumb and lateral two and a half fingers. You diagnose him with:</p>","<p>Klumpke Paralysis</p>","<p>Erb-Duchenne Palsy</p>","<p>Carpal Tunnel Syndrome</p>","<p>Claw Hand</p>","","<p>Carpal Tunnel Syndrome is caused by compression to the median nerve which runs in the carpal tunnel. The median nerve innervates the thenar region of the palm and the lateral three and a half digits (thumb, index finger, middle finger and lateral half of ring finger).</p>","-"
"1154391","2014-09-23 02:56:51","7404847","3.3200","152","81","E","5","<p>A 26-year-old&nbsp;man reports numbness and tingling in his hands for the last 3 weeks. The numbness began during a 4 week cycling trip, he returned 1 week ago.&nbsp;On examination there is&nbsp;reduced or altered sensation&nbsp;in his little fingers, medial&nbsp;side of his ring fingers&nbsp;and the&nbsp;medial volar surface of both hands.</p><p>&nbsp;</p><p>Which nerve is affected?</p>","<p>axillary</p>","<p>median</p><p>&nbsp;</p>","<p>musculocutaneous</p><p>&nbsp;</p>","<p>radial</p>","<p>ulnar</p>","<p>This man has a bilateral compressive neuropathy of his ulnar nerves. Likely to be caused in this case&nbsp;by compression of the ulnar nerve by the handle bars&nbsp;at the anatomic location of&nbsp;Guyon's canal at the base of the hand. Compression of the ulnar nerve can occur anywhere along it's course (from the shoulder to the hand)&nbsp;resulting in neuropathy, the most common location of compression&nbsp;is at the elbow.</p><p>&nbsp;</p><p>Changing how he grips his handle bars (taking the weight off of his medial palm) should allow his symptoms to gradually resolve.</p>","Anatomy, Peripheral nerve"
"1154392","2014-09-23 02:56:51","7404847","3.2500","139","76","E","5","<p><img src=""../images/view.php?file=54100"" alt=""no description"" width=""351"" height=""238"" />CT of the thorax: Which number corresponds to the superior vena cava?</p>","<p>1</p>","<p>2</p>","<p>3</p>","<p>4</p>","<p>5</p>","<p>1 = root of aorta<br />2 = pulmonary outflow<br />3 = left atrium<br />4 = left pulmonary vein<br />5 = superior vena cava<br />6 = descending aorta</p>","Anatomy, Thorax"
"1154393","2014-09-23 02:56:51","7404847","3.2800","140","76","C","5","<p>Which of the following signs would be characteristic of someone with a suspected upper motor lesion?<em><br /></em></p>","<p>Hyporeflexia</p>","<p>Fasiculations</p>","<p>Positive Babinski Sign</p>","<p>Hypotonia</p>","<p>Muscular Wasting</p>","<p>C is correct. All of the other options are characteristic of a lower motor neurone lesion.</p><p>In normal individuals the Babinski sign is negative. Therefore when the sole of the foot is stimulated with a blunt instrument, the big toe flexes (downwards) and the other toes also flex and fan inward. In individuals with an<span style=""font-size: 15px;"">&nbsp;upper mo</span><span style=""font-size: 15px;"">tor neurone lesion there is a positive Babinski sign - the big toe extends (upwards) (dorsiflexon) and the other toes fan outward.</span></p><p><img style=""font-size: 15px;"" src=""../images/view.php?file=54230"" alt=""no description"" width=""382"" height=""205"" /></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>","Neurology, Upper Motor Neurone Lesions"
