"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"2865734","2017-10-04 21:49:09","phil","1.5400","159","101","E","5","<p>How many students are there in Year 2 this year?</p>","<p>299</p>","<p>301</p>","<p>303</p>","<p>305</p>","<p>307</p>","<p>We have added 307 PeerWise identifiers to this course</p>","-"
"2865973","2017-10-04 23:04:45","1604016","2.7000","173","115","B","5","<p>A 32 year old woman attends an antenatal screening clinic. When talking to the midwife, they discuss inheritance of genetic conditions. The woman is interested to know what kind of conditions are most commonly passed on. Which condition has the greatest familial trait?</p>","<p>Down Syndrome</p>","<p>Spina Bifida</p>","<p>Kleefstra Syndrome</p>","<p>Patent Ductus Arteriosus</p>","<p>Prader-Willi Syndrome</p>","<p>This was the answer given by the midwife in the antenatal screening lecture. If a person has a child with Spina Bifida, it is 8 times more likely their next child also has spina bifida.</p>","antenatal screening, case 7, inheritance"
"2866540","2017-10-05 02:25:32","1607709","3.0200","179","124","B","5","<p>A 41 year old pregnant woman attends your GP practice. She thinks that she's around 6 weeks pregnant. She wants to know more about the antenatal program, especially about the screening and testing available. You tell her about the available scans and procedures and inform her about the risks that some of these carry.&nbsp;</p><p>Which of the following scans/procedures have the highest risk of miscarriage?&nbsp;</p>","<p>Amniocentesis</p>","<p>Chorionic villus sampling</p>","<p>Non-invasive prenatal testing</p>","<p>12 week ultrasound scan</p>","<p>20 week ultrasound scan</p>","<p>Chorionic villus sampling has a 1-2% risk of miscarriage whereas amniocentesis has a 1% risk of miscarriage. The other three don't carry a risk of miscarriage.&nbsp;</p>","antenatal screening, case 7"
"2866642","2017-10-05 03:59:13","1601684","3.1000","201","134","B","5","<p>A 37 year old <strong>primigravida&nbsp;</strong>comes into your practice for her 12 week <strong>sonographic</strong> scan. The scan reveals an <strong>increased nuchal translucency</strong> due to an accumulation of fluid at the nape of the neck as observed below.&nbsp; Which of the following would a <strong>foetus</strong> be at a <strong>higher risk</strong> for with such a scan result?</p><p><img src=""http://mariarastgoo.com/wp-content/uploads/2014/03/nuchal-translucency-21.jpg"" alt="""" width=""400"" height=""271"" /></p>","<p>Increased risk of limb deformities.&nbsp;</p>","<p>Increased risk of Cardiovascular abnormalities.&nbsp;</p>","<p>Increased risk of Gastroschisis.&nbsp;</p>","<p>Increased risk of&nbsp;Omphalocele</p>","<p>Increased risk of&nbsp;Achondroplasia</p>","<p>Nuchal Translucency can be used to screen for an increased risk of a foetus having Down's syndrome. This is because nuchal translucency is associated with a higher risk of cardiovascular abnormalities. Since CV abnormalities are common in Down's, this screening test raises the chance of the foetus being affected. Further diagnostic tests such as CVS and amniocentesis will reveal further information regarding the karyotype of the foetus.&nbsp;</p><p>&nbsp;</p><p><iframe title=""YouTube video player"" width=""425"" height=""350"" src=""//www.youtube.com/embed/9U32mfBMa-o"" frameborder=""0""></iframe></p><p>&nbsp;</p>","antenatal screening, case 7, Sonography"
"2866732","2017-10-05 05:41:10","1601684","3.2000","228","146","C","5","<p>You are performing a <strong>CT</strong> scan on a patient's vertebral column when you notice that one of the vertebrae is missing its <strong>spinous process</strong>. You diagnosis the patient with <strong>Spina Bifida Occulta</strong> . During which phase in <strong>embryology</strong> would such a <strong>deformity</strong> arise?&nbsp;&nbsp;</p><p><img src=""http://www.spinabifida.net/wp-content/uploads/2015/01/Spina-Bifida-Occulta-Pictures24.jpg"" alt="""" width=""412"" height=""457"" /></p>","<p>Implantation</p>","<p>Granulation</p>","<p>Neurulation&nbsp;&nbsp;</p>","<p>Organogenesis.&nbsp;</p>","<p>Somitogenesis.&nbsp;</p>","<p>The correct answer is <strong>neurulation</strong>. During <strong>neurulation</strong> the <strong>notochord</strong> induces the formation of the neural plate from the <strong>ectoderm</strong>. This neural plate folds in on itself to produce the <strong>neural&nbsp; tube.</strong> This then goes on to develop into the <strong>spinal&nbsp; cord</strong> and <strong>brain</strong>. However, should this tube not close properly, a neural tube defect may arise. In this case, the defect has resulted in Spina Bifida Occulta.&nbsp;</p><p>&nbsp;</p><p>For more information on NTD:</p><p>&nbsp;</p><p><iframe title=""YouTube video player"" width=""425"" height=""350"" src=""//www.youtube.com/embed/vnJIzbDvxBs"" frameborder=""0""></iframe></p>","case 7, Neurulation, Gastrulation, somitogenesis, CT"
"2866765","2017-10-05 06:10:01","1601684","3.1100","214","141","B","5","<p>A young mother presents with her 5 year old son. She is worried about the development of the child as he seems not to be as <strong>articulate</strong> as his peers in primary school. Upon observation of the child, you notice a <strong>smoothphilitrum</strong>, <strong>flatmidface</strong>, <strong>thin upper</strong> lip etc. You suspect that the child has <strong>foetal&nbsp; alcohol&nbsp; syndrome.</strong> You ask the mother whether she consumed alcohol during pregnancy. She says that once she was aware that she was pregnant, she stopped. Which stage in pregnancy is the developing embryo/foetus at the <strong>greatest</strong> risk of <strong>alcohol impacting</strong> its <strong>development?</strong>&nbsp;</p><p>&nbsp;</p><p><img src=""https://i.pinimg.com/736x/14/b5/73/14b5731834d60474e20941e02b4c530d--fetal-alcohol-syndrome-spectrum-disorder.jpg"" alt="""" width=""300"" height=""300"" /></p>","<p>0-2 weeks.</p>","<p>2-8 weeks&nbsp;</p>","<p>8-12 weeks</p>","<p>12-20 weeks</p>","<p>20-40 weeks</p>","<p>Before implantation, alcohol may prevent implantation, but largely speaking won't result in deformity due to the <strong>pluripotency</strong> of the <strong>blastocysts.</strong> During the embryological stage of development between about 2-8 weeks, <strong>organogenesis</strong> sets into motion with all the basic body structures beginning to take shape. Particularly at risk are the cardiovascular system and the brain. Once the embryological stage is complete, the <strong>teratogenic</strong> effects of alcohol aren't quite as severe. For more detail, check out this website which goes into detail into the timeline of development and where alcohol can impact the developing embryo.</p><p>&nbsp;</p><p>https://embryo.asu.edu/pages/developmental-timeline-alcohol-induced-birth-defects</p><p>&nbsp;</p>","Neurulation, Gastrulation, case 7, Foetal alcohol syndrome"
"2866805","2017-10-05 06:37:21","1601684","2.7800","183","129","A","5","<p>Upon delivery of a child, you notice a large mass of tissue protruding from the child composed of various different tissue types. The mass is a <strong>teratoma.</strong> A teratoma is derived from <strong>all</strong> 3 cell <strong>germ&nbsp; lines.</strong> In this tissue, you identify teeth. From which&nbsp;<strong>germ line</strong> do <strong>teeth</strong> originate?&nbsp;</p><p><img src=""https://i.pinimg.com/236x/31/ea/7c/31ea7cbabdc4ab15144a22646fff72e7--medical-conditions-macabre.jpg"" alt="""" width=""232"" height=""218"" /></p>","<p>Ectoderm</p>","<p>Mesoderm</p>","<p>Endoderm</p>","<p>Trophoblasts.</p>","<p>Hypoblast</p>","<p>The tooth germ is an aggregation of cells that eventually forms a tooth. These cells are derived from the <strong>ectoderm</strong> of the first pharyngeal arch and the ectomesenchyme of the neural crest.</p><p>&nbsp;</p><p><img src=""http://study.com/cimages/multimages/16/germ-layers.jpg"" alt="""" width=""300"" height=""170"" /></p><p>&nbsp;</p><p>Neither the <strong>trophoblasts</strong> nor the <strong>hypoblast</strong> cells are germ line cells. Trophoblasts form the outer layer of the blastocyst, whereas the hypoblast forms the inner cell mass.&nbsp;</p><p>&nbsp;</p><p>For more information, refer to the plenaries by Prof Wilson on early embryological development.&nbsp;</p>","Neurulation, case 7, Gastrulation, Germ lines"
"2866833","2017-10-05 06:57:10","1506115","3.3100","228","150","B","5","<p>Myra is a 38 year old women who is attending her booking appointment. She lives just outside of Cardiff but has Indian descent. The midwife records Myra's height and weight at 164cm and 85kg. Myra discussed with her midwife that she usually smokes around 6 cigarettes a day and about 6 units of alcohol a week but since becoming pregnant has tried to stop this completely. Although Myra did admit her difficulties quitting and since taking her pregnancy test has had about 3 cigarettes.The Midwife also chatted to Myra about her family medical history and discovered that Myra's father has Sickle Cell disease.&nbsp;</p><p>The midwife explained to Myra that during her first ultrasound scan at 11-13 weeks one of the screening tests would be inaccurate for chromosomal abnormalities.&nbsp;</p><p>&nbsp;</p><p>Why is this the case?&nbsp;</p>","<p>Due to Myra's Age&nbsp;</p>","<p>Due to her BMI</p>","<p>Due to her lifestyle choices&nbsp;</p>","<p>Myra's family History of Sickle Cell Disease</p>","<p>Her ethnicity&nbsp;</p>","<p>Nuchal Translucency is inaccurate in obese ladies.</p>","case 7"
"2867020","2017-10-05 09:40:33","1476318","2.7100","140","100","E","5","<p>You have learnt that mothers who drink alcohol during early pregnancy are at increased risk of giving birth to infants with craniofacial defects.</p><p>&nbsp;</p><p>The death of which cells by ethanol consumption is responsible for minor midline abnormalities in infants?</p>","<p>Facial-zygamoutous neural crest</p>","<p>Vagal neural crest</p>","<p>The trunk neural crest</p>","<p>Ectomesenchymal neural crest</p>","<p>Cranial neural crest</p>","<p>Cranial neural crest cell death leads to midline facial abnormalities in the embryo/fetus.&nbsp;</p>","Foetal alcohol syndrome, Neurulation"
"2868974","2017-10-06 00:21:41","1601684","3.0900","208","137","A","5","<p>A young mother comes into your practice with her new born child. The child has Patau syndrome. Which <strong>karyotype</strong> would result in <strong>Patau</strong> syndrome?&nbsp;</p><p>&nbsp;</p><p><img src=""http://diseaseslist.org/wp-content/uploads/2012/08/patau-syndrome-photo-300x234.jpg"" alt="""" width=""300"" height=""234"" /></p>","<p>Trisomy 13 (47, XX, +13)</p>","<p>Trisomy 18 (47, XY, +18)</p>","<p>Trisomy 21 (47, XX, +21)</p>","<p>47, XXY</p>","<p>47, XYY</p>","<p>The correct answer is A.</p><p>&nbsp;</p><p>Trisomy 13, results in :</p><p>&nbsp;</p><p>&bull; High rates of miscarriage/still birth. 20% survival at 1 year.<br />&bull; Severe developmental delay, microcephaly, seizures, holoprosencephaly (failure of the forebrain to divide properly), neural tube defects.<br />&bull; Structural defects: craniofacial (e.g. hypotelorism, cyclopia, proboscis), eye (e.g. microphthalmia), skeletal (e.g. polydactyly, rocker-bottom feet, clenched hands), omphalocele, cleft palate, urogenital, heart, cutis aplasia.</p><p>&nbsp;</p><p>Trisomy 18 is Edwards Syndrome.&nbsp;</p><p>&nbsp;</p><p>Trisomy 21 is Downs Sydrome.</p><p>&nbsp;</p><p>47, XXY, Kleinfelter syndrome.</p><p>&nbsp;</p><p>47, XYY XYY syndrome.&nbsp;</p><p>&nbsp;</p><p>For more information refer to the Chromosomal abnormalities lecture.&nbsp;</p>","Germ lines, inheritance, Karyotypes, case 7, Chromosomal abnormalities"
